mode,method,probe_accuracy_mean,probe_accuracy_sd,probe_r2_mean,nuisance_accuracy_mean,final_cka_mean,residual_cka_mean,wall_time_mean
flat,dda_fixed,0.6729166666666667,0.025914039107007392,0.13384043201804158,0.8708333333333332,0.7892627716064453,0.7318626642227173,0.788908799784258
flat,dda_monotonic,0.6680555555555555,0.02848492264165795,0.128008784353733,0.8666666666666666,0.7795702457427979,0.7010978490114212,0.9646775166038424
flat,hidden,0.6784722222222223,0.028165694153712766,0.18320553153753277,0.7416666666666667,0.7962302732467651,0.741915974020958,0.8109517748001963
hierarchical,all_hidden,0.8798611111111111,0.02523041961747908,0.7584797382354737,0.5583333333333333,0.7770410943031311,0.7173140823841095,1.7868843749980443
hierarchical,dda_fixed,0.8743055555555556,0.020006750404011054,0.7562016844749451,0.7375,0.7735473036766052,0.7501385182142257,1.24175750859431
hierarchical,dda_learned,0.875,0.02126293179499279,0.756259560585022,0.7333333333333333,0.7727730512619019,0.7503560483455658,1.140180741599761
hierarchical,dda_monotonic,0.8756944444444444,0.02060055135304348,0.7621971368789673,0.7375,0.7704172873497009,0.7385332465171814,1.0125733168039006
hierarchical,final,0.8743055555555556,0.020600551353043405,0.767347228527069,0.6791666666666666,0.7698943996429444,0.7340232014656067,0.8883079832070507
hierarchical,hidden,0.8763888888888889,0.02673836570580346,0.7627067923545837,0.5666666666666667,0.7800095319747925,0.7255896359682084,0.978201374807395
hierarchical,matryoshka,0.86875,0.028988377034363612,0.7622301459312439,0.6958333333333333,0.7597965312004089,0.7256101965904236,0.9711601085960865
hierarchical,no_audio,0.8743055555555556,0.03195576490234311,0.7416849493980407,0.9041666666666666,0.7507845449447632,0.6654207915067673,0.8665715999959502
hierarchical,random_teacher,0.8659722222222221,0.03596726156271826,0.7840593695640564,0.9416666666666667,0.6742372441291808,0.5816067531704903,0.86566627479624
hierarchical,shuffled_residual,0.8777777777777779,0.014189456070626808,0.7943843960762024,0.7458333333333333,0.7673892378807068,0.7254217535257339,0.723185124801239
nonmonotonic,dda_learned,0.8805555555555555,0.01167203910692464,0.7714454770088196,0.7625,0.7893747210502624,0.7925825595855713,0.8157894500007388
nonmonotonic,dda_monotonic,0.8840277777777779,0.014442107182698196,0.7639200687408447,0.7583333333333333,0.7833045172691345,0.7513563603162765,0.7620328833989334
parallel,dda_learned,0.8604166666666666,0.035358748939169314,0.7189588904380798,0.75,0.8388300323486328,0.8381113827228546,0.7375736499903723
parallel,dda_monotonic,0.861111111111111,0.03506772548042388,0.7230745315551758,0.7125,0.8247828292846681,0.7973371595144272,0.8479166667966638
teacher_shuffled,dda_monotonic,0.88125,0.023472838584938285,0.7655652761459351,0.6875,0.7656347846984863,0.7291863113641739,0.8723713086044882
