seed,mode,method,probe_accuracy,probe_r2,nuisance_accuracy,final_cka,residual_cka,mapping_rmse,best_val_loss,trainable_parameters,epochs,wall_time_seconds,mapping_means,mapping_weights,eeg_residual_norms,audio_residual_norms,hidden_cka_matrix,residual_cka_matrix,layer_probe_accuracy,residual_probe_accuracy
0,hierarchical,no_audio,0.9027777777777778,0.7508609890937805,0.9375,0.7706706762313843,0.7094978094100952,,0.0332580469548702,20808,10,0.9114149999804796,[],[],"[1.0,1.0,1.0,1.0]","[1.0,1.0,1.0,1.0,1.0,1.0]","[[0.7952816486358643,0.8280426859855652,0.8510710000991821,0.8493361473083496,0.8435429930686951,0.8325594663619995,0.8133057355880737],[0.7166631817817688,0.7659488916397095,0.8098347783088684,0.8067747950553894,0.8016785979270935,0.7786725759506226,0.7459690570831299],[0.7412282824516296,0.778948962688446,0.8104819059371948,0.8147916197776794,0.8165801167488098,0.7970021963119507,0.7684201002120972],[0.6511543989181519,0.7016627788543701,0.7468492388725281,0.7311326861381531,0.7146537899971008,0.7028469443321228,0.6853703856468201],[0.6846688389778137,0.7273565530776978,0.7645854949951172,0.7547076940536499,0.7440743446350098,0.7342290878295898,0.7187915444374084]]","[[0.8557462692260742,0.8565655946731567,0.7748414278030396,0.7761761546134949,0.5878099203109741,0.5749685764312744],[0.7243120074272156,0.7308318614959717,0.8073256015777588,0.8020990490913391,0.6625849604606628,0.6517985463142395],[0.7879008650779724,0.7782849073410034,0.6030978560447693,0.6091607213020325,0.5787587761878967,0.5747395753860474],[0.8014921545982361,0.7951374650001526,0.6462799310684204,0.6493117809295654,0.5746727585792542,0.5657586455345154]]","[0.9236111111111112,0.9027777777777778,0.90625,0.8993055555555555,0.9027777777777778]","[0.920138888888889,0.920138888888889,0.90625,0.8993055555555555]"
1,hierarchical,no_audio,0.8784722222222222,0.7264910340309143,0.7916666666666666,0.7429334402084351,0.637489065527916,,0.0252839187160134,20808,10,1.019133875000989,[],[],"[1.0,1.0,1.0,1.0]","[1.0,1.0,1.0,1.0,1.0,1.0]","[[0.8039812445640564,0.7906763553619385,0.7648828029632568,0.7823158502578735,0.7931713461875916,0.7999105453491211,0.8053257465362549],[0.7408570647239685,0.7223563194274902,0.6972253322601318,0.7189135551452637,0.7369195818901062,0.7467406988143921,0.7582991719245911],[0.7152339220046997,0.7035722136497498,0.684966504573822,0.7016257047653198,0.7137615084648132,0.7237362265586853,0.7360485196113586],[0.7537347674369812,0.7429633140563965,0.7244998216629028,0.7431312799453735,0.7578344941139221,0.7663597464561462,0.7766585350036621],[0.7250840663909912,0.7292032241821289,0.7241369485855103,0.7374362945556641,0.7462928295135498,0.7497230172157288,0.7540004253387451]]","[[0.6251863241195679,0.6222392320632935,0.6419410705566406,0.637615442276001,0.7315148711204529,0.7301324009895325],[0.6417064666748047,0.6385595202445984,0.6253630518913269,0.6218461394309998,0.7259668707847595,0.7230170369148254],[0.6853829622268677,0.6806401610374451,0.5713290572166443,0.5665928721427917,0.7024139761924744,0.6988843083381653],[0.7254655361175537,0.7240591049194336,0.6742126941680908,0.6736385822296143,0.7354048490524292,0.7328140139579773]]","[0.8645833333333334,0.8680555555555555,0.875,0.875,0.8784722222222222]","[0.84375,0.8125,0.8368055555555557,0.8402777777777778]"
2,hierarchical,no_audio,0.8854166666666666,0.7758823037147522,1.0,0.6739893436431885,0.6052592098712921,,0.0297903949394822,20808,10,0.8376080830057617,[],[],"[1.0,1.0,1.0,1.0]","[1.0,1.0,1.0,1.0,1.0,1.0]","[[0.6957444548606873,0.6907529234886169,0.687904417514801,0.7068736553192139,0.7280988097190857,0.7216451168060303,0.7125679850578308],[0.6738927960395813,0.6702762842178345,0.6691398620605469,0.6859240531921387,0.7056644558906555,0.701586127281189,0.696014940738678],[0.6307801008224487,0.6272520422935486,0.6276981234550476,0.6491299271583557,0.6745902895927429,0.6661322116851807,0.6552642583847046],[0.6324581503868103,0.6242991089820862,0.6200939416885376,0.6416872143745422,0.6675869226455688,0.6626251339912415,0.6560543775558472],[0.6635019779205322,0.6577693819999695,0.6550500988960266,0.6752145290374756,0.6994057893753052,0.6944935321807861,0.6883455514907837]]","[[0.6119878888130188,0.6148859858512878,0.7214036583900452,0.721381425857544,0.6358188390731812,0.6322078704833984],[0.5654405951499939,0.5741037130355835,0.7084792256355286,0.7012802362442017,0.5098130702972412,0.5079708099365234],[0.3790728449821472,0.3807472288608551,0.5031763315200806,0.5042605400085449,0.4209468960762024,0.4141307473182678],[0.6002318859100342,0.6061727404594421,0.7125738859176636,0.7114864587783813,0.5987955331802368,0.5963091850280762]]","[0.892361111111111,0.8888888888888888,0.8888888888888888,0.8854166666666666,0.8854166666666666]","[0.8715277777777777,0.8819444444444443,0.875,0.875]"
3,hierarchical,no_audio,0.8854166666666666,0.730665385723114,0.875,0.8009655117988587,0.6755684167146683,,0.0324062891304492,20808,10,0.6818311669921968,[],[],"[1.0,1.0,1.0,1.0]","[1.0,1.0,1.0,1.0,1.0,1.0]","[[0.8326262831687927,0.8466044068336487,0.8442381024360657,0.852628231048584,0.8593227863311768,0.8509901762008667,0.833737850189209],[0.7897443175315857,0.8036981821060181,0.8041977882385254,0.8085982203483582,0.8108540177345276,0.8076226711273193,0.7973640561103821],[0.7786200046539307,0.7990490794181824,0.8062159419059753,0.8079906105995178,0.806698739528656,0.8014991283416748,0.7892703413963318],[0.7744030952453613,0.7928615212440491,0.7988560795783997,0.8011311292648315,0.8009656667709351,0.7971550822257996,0.786623477935791],[0.7420876026153564,0.7564728856086731,0.7599782943725586,0.7651893496513367,0.7697222828865051,0.7670156359672546,0.7590472102165222]]","[[0.7419476509094238,0.737540066242218,0.7073199152946472,0.7063538432121277,0.6551023721694946,0.6483597755432129],[0.7777931094169617,0.7744687795639038,0.6803535223007202,0.6765298247337341,0.614682137966156,0.6069245338439941],[0.7151197195053101,0.710990309715271,0.6200147867202759,0.6204836368560791,0.5940500497817993,0.5852301716804504],[0.7412900328636169,0.7369586229324341,0.7412870526313782,0.7390251755714417,0.6664987206459045,0.65948885679245]]","[0.8784722222222223,0.8784722222222223,0.8784722222222222,0.8784722222222222,0.8854166666666666]","[0.8680555555555555,0.8819444444444443,0.8402777777777778,0.8402777777777777]"
4,hierarchical,no_audio,0.8194444444444445,0.7245250344276428,0.9166666666666666,0.7653637528419495,0.6992894560098648,,0.0322207156568765,20808,10,0.8828698750003241,[],[],"[1.0,1.0,1.0,1.0]","[1.0,1.0,1.0,1.0,1.0,1.0]","[[0.8309884071350098,0.8241531252861023,0.8162545561790466,0.812244176864624,0.807309627532959,0.8208392262458801,0.8357279896736145],[0.7722320556640625,0.7655960917472839,0.7591420412063599,0.75667804479599,0.7543885111808777,0.7670357823371887,0.7815756797790527],[0.7619063258171082,0.7540885806083679,0.7465484738349915,0.7449913620948792,0.7435691356658936,0.7560868859291077,0.7705124020576477],[0.7524892687797546,0.7452108263969421,0.7387638092041016,0.7357341051101685,0.733393132686615,0.7476987242698669,0.7648390531539917],[0.745453953742981,0.7368961572647095,0.7293542623519897,0.7273354530334473,0.7261691093444824,0.740629255771637,0.7583038210868835]]","[[0.7242368459701538,0.719955563545227,0.7029522061347961,0.706641674041748,0.7867597341537476,0.7842946648597717],[0.681282639503479,0.6741258502006531,0.6702778935432434,0.6718527674674988,0.7388343214988708,0.7346763014793396],[0.6379154920578003,0.6316381096839905,0.6500890851020813,0.6499435305595398,0.7241092920303345,0.7202275395393372],[0.6839032173156738,0.677200436592102,0.7015761137008667,0.7004605531692505,0.7579553127288818,0.7526995539665222]]","[0.8333333333333334,0.8055555555555555,0.8020833333333334,0.7986111111111112,0.8194444444444445]","[0.8194444444444445,0.8125,0.8090277777777777,0.8263888888888888]"
0,hierarchical,final,0.9027777777777776,0.7928565144538879,0.5833333333333334,0.7906065106391906,0.7568258792161942,,0.1279419958591461,20808,10,0.7581067080027424,[],[],"[1.0,1.0,1.0,1.0]","[1.0,1.0,1.0,1.0,1.0,1.0]","[[0.8257396221160889,0.8512759804725647,0.8662837147712708,0.8676596283912659,0.8646456003189087,0.8578131794929504,0.8438675999641418],[0.7966408729553223,0.8129847049713135,0.8200119137763977,0.8183287978172302,0.8144530057907104,0.8224092125892639,0.8292454481124878],[0.7882539629936218,0.7844683527946472,0.7708807587623596,0.7780308723449707,0.7832502722740173,0.8009433746337891,0.8199725151062012],[0.7651915550231934,0.7681313157081604,0.7621183395385742,0.7641602754592896,0.7651960849761963,0.7826631665229797,0.8024653792381287],[0.7231054306030273,0.7287421226501465,0.7271683812141418,0.7324784398078918,0.7374030351638794,0.7497465014457703,0.7640540599822998]]","[[0.7729246616363525,0.7735704183578491,0.7525863647460938,0.7535580992698669,0.7883437871932983,0.7885725498199463],[0.6151109337806702,0.6259395480155945,0.7366580963134766,0.7319043278694153,0.8288125991821289,0.8265160322189331],[0.7109854817390442,0.7144233584403992,0.726071298122406,0.7260039448738098,0.7996554374694824,0.8011423349380493],[0.6408198475837708,0.6438837051391602,0.7046189904212952,0.7017369866371155,0.7907882928848267,0.7917168140411377]]","[0.9236111111111112,0.9097222222222223,0.9027777777777777,0.90625,0.9027777777777777]","[0.9131944444444445,0.888888888888889,0.8993055555555555,0.8993055555555557]"
1,hierarchical,final,0.8645833333333334,0.7416588664054871,0.7291666666666666,0.6915579438209534,0.6778238862752914,,0.0991203188896179,20808,10,1.1167718750075435,[],[],"[1.0,1.0,1.0,1.0]","[1.0,1.0,1.0,1.0,1.0,1.0]","[[0.7889750003814697,0.7724711298942566,0.7448205351829529,0.7665736675262451,0.7833906412124634,0.7886789441108704,0.7923579812049866],[0.747897207736969,0.7204990386962891,0.6896232962608337,0.7224932312965393,0.7558629512786865,0.7632057070732117,0.7715641856193542],[0.6754664778709412,0.641724705696106,0.6079813241958618,0.6452951431274414,0.6864497661590576,0.6946077942848206,0.7050585150718689],[0.6563848257064819,0.6254986524581909,0.5954766273498535,0.6326029300689697,0.6740590333938599,0.6811103224754333,0.6905583143234253],[0.6242220401763916,0.6093279719352722,0.5923752188682556,0.6209368109703064,0.6524863243103027,0.6554509401321411,0.6598372459411621]]","[[0.6376438140869141,0.6345401406288147,0.7347573041915894,0.7340937852859497,0.7540081143379211,0.7516493797302246],[0.558808445930481,0.5542101263999939,0.7072718143463135,0.704301655292511,0.6775951981544495,0.6742329597473145],[0.4821833372116089,0.48391976952552795,0.6788658499717712,0.6773148775100708,0.6558200716972351,0.6568815112113953],[0.5171687006950378,0.5174018144607544,0.7315496802330017,0.7290263175964355,0.6889721155166626,0.6890650391578674]]","[0.8645833333333334,0.8680555555555557,0.8715277777777777,0.8645833333333334,0.8645833333333334]","[0.8715277777777778,0.8645833333333334,0.8541666666666666,0.8611111111111112]"
2,hierarchical,final,0.8611111111111112,0.7611343264579773,0.8541666666666666,0.7367612957954407,0.7248358726501465,,0.1607305407524109,20808,10,0.718515667016618,[],[],"[1.0,1.0,1.0,1.0]","[1.0,1.0,1.0,1.0,1.0,1.0]","[[0.6845309734344482,0.687633216381073,0.69143146276474,0.7061577439308167,0.721956193447113,0.71275395154953,0.7004374861717224],[0.7472951412200928,0.7602353096008301,0.7718645334243774,0.776449978351593,0.7802034020423889,0.7754671573638916,0.7697016000747681],[0.7053682208061218,0.7071374654769897,0.7113141417503357,0.7244617938995361,0.7405432462692261,0.73867267370224,0.7368404865264893],[0.7342564463615417,0.7366817593574524,0.7410488128662109,0.7525969743728638,0.7660979628562927,0.7653750777244568,0.7651316523551941],[0.7004687786102295,0.705446183681488,0.713306188583374,0.7238622307777405,0.7368583083152771,0.7363148927688599,0.7368512153625488]]","[[0.725507915019989,0.724155068397522,0.7846543788909912,0.7826860547065735,0.7279775142669678,0.724504828453064],[0.6955856680870056,0.6940311789512634,0.7657122611999512,0.7638933062553406,0.7090272307395935,0.6993329524993896],[0.6804668307304382,0.6815847158432007,0.7495577931404114,0.7435051798820496,0.6439654231071472,0.6414090394973755],[0.7105081081390381,0.7098503708839417,0.7493104934692383,0.74405837059021,0.669708251953125,0.6646181344985962]]","[0.892361111111111,0.8784722222222223,0.8576388888888888,0.8506944444444445,0.8611111111111112]","[0.875,0.8784722222222222,0.8472222222222222,0.8402777777777778]"
3,hierarchical,final,0.8888888888888888,0.7194386124610901,0.5625,0.8162933111190795,0.7179692983627319,,0.0586321949958801,20808,10,0.8545859580044635,[],[],"[1.0,1.0,1.0,1.0]","[1.0,1.0,1.0,1.0,1.0,1.0]","[[0.8652215600013733,0.8752073049545288,0.8700134754180908,0.8800051808357239,0.8889222145080566,0.8831181526184082,0.8684789538383484],[0.7792534828186035,0.7797116041183472,0.7720213532447815,0.7843449711799622,0.7974510788917542,0.7981494069099426,0.7925227880477905],[0.7811471223831177,0.8078227043151855,0.8215663433074951,0.825520396232605,0.8269733786582947,0.815194845199585,0.7952215075492859],[0.7928619980812073,0.8211072087287903,0.8365009427070618,0.840694010257721,0.8428357243537903,0.8301315307617188,0.8090484738349915],[0.7563976049423218,0.7759737968444824,0.785363495349884,0.7929838299751282,0.8006124496459961,0.791671872138977,0.7758675217628479]]","[[0.7129369378089905,0.711369514465332,0.7247682213783264,0.7183974981307983,0.6278864741325378,0.6236416101455688],[0.8327921032905579,0.828976571559906,0.7439343333244324,0.7395229935646057,0.6279174089431763,0.618707537651062],[0.7884142994880676,0.7842004895210266,0.7914231419563293,0.7896131277084351,0.6607820391654968,0.6510401964187622],[0.8335586190223694,0.8304404616355896,0.7498108744621277,0.7448840141296387,0.634470522403717,0.6253927946090698]]","[0.888888888888889,0.892361111111111,0.8888888888888888,0.8854166666666666,0.8888888888888888]","[0.9027777777777777,0.892361111111111,0.888888888888889,0.8993055555555557]"
4,hierarchical,final,0.8541666666666666,0.8216478228569031,0.6666666666666666,0.8142529368400574,0.7926610708236694,,0.0358713567256927,20808,10,0.993559708003886,[],[],"[1.0,1.0,1.0,1.0]","[1.0,1.0,1.0,1.0,1.0,1.0]","[[0.8505715727806091,0.8462827801704407,0.841036856174469,0.838848888874054,0.835804283618927,0.8457632064819336,0.8557369709014893],[0.8511271476745605,0.8490742444992065,0.8474348783493042,0.8440293669700623,0.8415666222572327,0.8532006740570068,0.866484522819519],[0.8069806694984436,0.7986323833465576,0.7912930846214294,0.7933552265167236,0.7962538003921509,0.8065477013587952,0.8182588219642639],[0.7998818159103394,0.7977757453918457,0.796224057674408,0.8003305792808533,0.8054390549659729,0.8089787364006042,0.8116810321807861],[0.7551904320716858,0.7518528699874878,0.7505179643630981,0.7519357800483704,0.7556275725364685,0.764144778251648,0.774463951587677]]","[[0.8089889883995056,0.8031828999519348,0.788666307926178,0.7908111810684204,0.8447695374488831,0.841749906539917],[0.7401680946350098,0.7304449677467346,0.7793720960617065,0.7753313183784485,0.7703219056129456,0.7647919654846191],[0.7938347458839417,0.7839362621307373,0.7833690643310547,0.7822883129119873,0.7658417820930481,0.7622680068016052],[0.765961766242981,0.7566962242126465,0.8054866194725037,0.8032152652740479,0.8048185706138611,0.7999948859214783]]","[0.84375,0.8472222222222222,0.8576388888888888,0.8541666666666666,0.8541666666666666]","[0.8472222222222222,0.8611111111111112,0.8402777777777778,0.8611111111111112]"
