paper_id,title,authors,year,venue,task,modalities,trf_or_lagged_design,partial_correlation,residualize_input,residualize_embedding,residualize_q,residualize_k,residualize_v,condition_attention,acoustic_covariates,brain_data,teacher_model,hard_negative_control,code_available,closest_overlap,novelty_risk,url,notes
W3135526844,Causal Attention for Vision-Language Tasks,Xu Yang; Hanwang Zhang; Guo-Jun Qi; Jianfei Cai,2021,arXiv (Cornell University),attention_deconfounding,multimodal,False,False,False,False,False,False,False,True,False,False,True,False,False,attention_deconfounding,medium,http://arxiv.org/abs/2103.03493,"We present a novel attention mechanism: Causal Attention (CATT), to remove the ever-elusive confounding effect in existing attention-based vision-language models. This effect causes harmful bias that misleads the attention module to focus on the spurious correlations in training data, damaging the model generalization. As the confounder is unobserved in general, we use the front-door adjustment to realize the causal "
W3152619510,Deconfounded Video Moment Retrieval with Causal Intervention,Xun Yang; Fuli Feng; Wei Ji; Meng Wang; Tat‐Seng Chua,2021,,attention_deconfounding,multimodal,False,False,False,False,False,False,False,True,False,False,False,False,False,attention_deconfounding,medium,https://doi.org/10.1145/3404835.3462823,"We tackle the task of video moment retrieval (VMR), which aims to localize a specific moment in a video according to a textual query. Existing methods primarily model the matching relationship between query and moment by complex cross-modal interactions. Despite their effectiveness, current models mostly exploit dataset biases while ignoring the video content, thus leading to poor generalizability. We argue that the "
W4226392681,Deconfounded Visual Grounding,Jianqiang Huang; Qin Yu; Jiaxin Qi; Qianru Sun; Hanwang Zhang,2022,Proceedings of the AAAI Conference on Artificial Intelligence,attention_deconfounding,multimodal,False,False,False,False,False,False,False,True,False,False,False,False,False,attention_deconfounding,medium,https://doi.org/10.1609/aaai.v36i1.19983,"We focus on the confounding bias between language and location in the visual grounding pipeline, where we find that the bias is the major visual reasoning bottleneck. For example, the grounding process is usually a trivial languagelocation association without visual reasoning, e.g., grounding any language query containing sheep to the nearly central regions, due to that most queries about sheep have ground-truth loca"
W4324296919,Backdoor Defense via Deconfounded Representation Learning,Zaixi Zhang; Qi Liu; Zhicai Wang; Zepu Lu; Qingyong Hu,2023,arXiv (Cornell University),attention_deconfounding,multimodal,False,False,False,False,False,False,False,True,False,False,False,False,False,attention_deconfounding,medium,http://arxiv.org/abs/2303.06818,"Deep neural networks (DNNs) are recently shown to be vulnerable to backdoor attacks, where attackers embed hidden backdoors in the DNN model by injecting a few poisoned examples into the training dataset. While extensive efforts have been made to detect and remove backdoors from backdoored DNNs, it is still not clear whether a backdoor-free clean model can be directly obtained from poisoned datasets. In this paper, w"
W4390874216,Knowledge Proxy Intervention for Deconfounded Video Question Answering,Jiangtong Li; Li Niu; Liqing Zhang,2023,,attention_deconfounding,multimodal,False,False,False,False,False,False,False,True,False,False,False,False,False,attention_deconfounding,medium,https://doi.org/10.1109/iccv51070.2023.00261,"Recently, Video Question-Answering (VideoQA) has drawn more and more attention from both the industry and the research community. Despite all the success achieved by recent works, dataset bias always harmfully misleads current methods focusing on spurious correlations in training data. To analyze the effects of dataset bias, we frame the VideoQA pipeline into a causal graph, which shows the causalities among video, q"
W4387968117,Towards Deconfounded Image-Text Matching with Causal Inference,Wenhui Li; Xinqi Su; Dan Song; Lanjun Wang; Kun Zhang; An-An Liu,2023,,attention_deconfounding,multimodal,False,False,False,False,False,False,False,True,False,False,False,False,False,attention_deconfounding,medium,https://doi.org/10.1145/3581783.3612472,"Prior image-text matching methods have shown remarkable performance on many benchmark datasets, but most of them overlook the bias in the dataset, which exists in intra-modal and inter-modal, and tend to learn the spurious correlations that extremely degrade the generalization ability of the model. Furthermore, these methods often incorporate biased external knowledge from large-scale datasets as prior knowledge into"
W4382318830,Video-Audio Domain Generalization via Confounder Disentanglement,Shengyu Zhang; Xu-Sheng Feng; Wenyan Fan; Wenjing Fang; Fuli Feng; Wei Ji; Shuo Li; Li Wang; Shanshan Zhao; Zhou Zhao; Tat‐Seng Chua; Fei Wu,2023,Proceedings of the AAAI Conference on Artificial Intelligence,attention_deconfounding,multimodal,False,False,False,False,False,False,False,True,False,False,False,False,False,attention_deconfounding,medium,https://doi.org/10.1609/aaai.v37i12.26787,"Existing video-audio understanding models are trained and evaluated in an intra-domain setting, facing performance degeneration in real-world applications where multiple domains and distribution shifts naturally exist. The key to video-audio domain generalization (VADG) lies in alleviating spurious correlations over multi-modal features. To achieve this goal, we resort to causal theory and attribute such correlation "
W2940217297,Low-frequency cortical responses to natural speech reflect probabilistic phonotactics,Giovanni M. Di Liberto; Daniel D.E. Wong; Gerda Ana Melnik; Alain de Cheveigné,2019,NeuroImage,brain_variance_partition,representation,False,False,False,False,False,False,False,False,False,True,False,False,False,brain_variance_partition,high,https://doi.org/10.1016/j.neuroimage.2019.04.037,
W2964812680,Semantic Context Enhances the Early Auditory Encoding of Natural Speech,Michael P. Broderick; Andrew Anderson; Edmund C. Lalor,2019,Journal of Neuroscience,brain_variance_partition,representation,False,False,False,False,False,False,False,False,False,True,False,False,False,brain_variance_partition,high,https://doi.org/10.1523/jneurosci.0584-19.2019,"Speech perception involves the integration of sensory input with expectations based on the context of that speech. Much debate surrounds the issue of whether or not prior knowledge feeds back to affect early auditory encoding in the lower levels of the speech processing hierarchy, or whether perception can be best explained as a purely feedforward process. Although there has been compelling evidence on both sides of "
W3093822897,Linguistic Structure and Meaning Organize Neural Oscillations into a Content-Specific Hierarchy,Greta Kaufeld; Hans Rutger Bosker; Sanne ten Oever; Phillip M. Alday; Antje S. Meyer; Andrea E. Martin,2020,Journal of Neuroscience,brain_variance_partition,representation,False,False,False,False,False,False,False,False,True,True,False,False,False,brain_variance_partition,high,https://doi.org/10.1523/jneurosci.0302-20.2020,"Neural oscillations track linguistic information during speech comprehension (Ding et al., 2016; Keitel et al., 2018), and are known to be modulated by acoustic landmarks and speech intelligibility (Doelling et al., 2014; Zoefel and VanRullen, 2015). However, studies investigating linguistic tracking have either relied on non-naturalistic isochronous stimuli or failed to fully control for prosody. Therefore, it is st"
